STATE/UT,YEAR,TYPE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
Nagaland,2014,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2014,Road Accidents,896,826,851,726,852,828,756,693,660,776,854,922,9640
Odisha,2014,Other Railway Accidents,21,24,28,19,17,19,20,16,20,22,22,18,246
Odisha,2014,Rail-Road Accidents,9,10,6,11,13,19,12,15,8,6,9,10,128
Punjab,2014,Road Accidents,495,493,555,524,563,535,491,519,489,568,595,564,6391
Punjab,2014,Other Railway Accidents,85,64,88,87,99,102,112,89,89,98,62,72,1047
Punjab,2014,Rail-Road Accidents,1,0,0,1,0,1,0,1,0,0,0,0,4
Rajasthan,2014,Road Accidents,2143,1951,2130,2053,2484,2213,1976,1888,1839,2035,2104,1823,24639
Rajasthan,2014,Other Railway Accidents,48,56,62,59,76,97,67,67,47,64,57,34,734
Rajasthan,2014,Rail-Road Accidents,2,2,0,3,5,2,1,2,2,2,0,3,24
Sikkim,2014,Road Accidents,9,6,15,13,13,11,14,11,19,6,9,4,130
Sikkim,2014,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2014,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2014,Road Accidents,5658,5293,5824,5303,5711,5915,5719,5936,5777,5516,5036,5562,67250
Tamil Nadu,2014,Other Railway Accidents,148,159,152,160,164,157,171,148,147,144,143,152,1845
Tamil Nadu,2014,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Telangana,2014,Road Accidents,1788,1666,1668,1507,1938,1740,1473,1510,1455,1535,1627,2171,20078
Telangana,2014,Other Railway Accidents,1,0,0,0,0,0,0,0,1,0,0,1,3
Telangana,2014,Rail-Road Accidents,95,89,87,81,85,95,96,99,91,96,68,79,1061
Tripura,2014,Road Accidents,65,74,81,63,72,46,64,53,54,60,38,46,716
Tripura,2014,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2014,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2014,Road Accidents,2550,2311,2217,2067,2265,2209,2086,2017,1824,2023,2170,2325,26064
Uttar Pradesh,2014,Other Railway Accidents,373,310,331,297,359,386,360,333,331,312,324,290,4006
Uttar Pradesh,2014,Rail-Road Accidents,35,35,40,17,29,34,37,24,29,25,17,37,359
Uttarakhand,2014,Road Accidents,58,43,65,64,77,62,61,72,69,83,76,71,801
Uttarakhand,2014,Other Railway Accidents,2,4,6,5,3,4,1,2,2,3,2,1,35
Uttarakhand,2014,Rail-Road Accidents,1,2,3,3,0,4,2,1,2,1,1,0,20
West Bengal,2014,Road Accidents,1516,1398,1473,1385,1527,1439,1416,1356,1391,1395,1415,1394,17105
West Bengal,2014,Other Railway Accidents,230,215,222,247,243,286,273,266,243,263,193,214,2895
West Bengal,2014,Rail-Road Accidents,17,13,9,16,6,12,13,9,7,15,8,6,131
A & N Islands,2014,Road Accidents,25,13,19,19,18,15,15,16,15,23,18,22,218
A & N Islands,2014,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N Islands,2014,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2014,Road Accidents,35,22,31,40,32,25,22,32,38,31,28,30,366
Chandigarh,2014,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2014,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,2014,Road Accidents,6,7,7,10,9,4,8,7,7,8,8,6,87
D&N Haveli,2014,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,2014,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2014,Road Accidents,6,4,3,3,2,2,0,5,1,5,2,6,39
Daman & Diu,2014,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2014,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi Ut,2014,Road Accidents,643,698,801,632,661,658,624,744,742,687,720,700,8310
Delhi Ut,2014,Other Railway Accidents,67,67,85,76,71,80,81,85,77,86,81,58,914
Delhi Ut,2014,Rail-Road Accidents,1,1,2,1,1,1,1,1,1,0,1,0,11
Lakshadweep,2014,Road Accidents,0,0,0,0,0,0,0,0,0,1,0,0,1
Lakshadweep,2014,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2014,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2014,Road Accidents,44,64,65,46,59,57,60,58,62,75,44,37,671
Puducherry,2014,Other Railway Accidents,0,0,0,1,0,1,0,0,0,0,0,1,3
Puducherry,2014,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,1,1
